# Map of average order parameters calculated for all bonds of all molecule types.
# Calculated with 'gorder v0.5.0-dev.1'.
@ xlabel x-dimension [nm]
@ ylabel y-dimension [nm]
@ zlabel order parameter ($-S_{CH}$)
@ zrange -1.0 0.5 0.25
$ type colorbar
$ colormap seismic_r
0.0000 0.0000 NaN
0.0000 0.1000 NaN
0.0000 0.2000 NaN
0.0000 0.3000 NaN
0.0000 0.4000 NaN
0.0000 0.5000 NaN
0.0000 0.6000 NaN
0.0000 0.7000 NaN
0.0000 0.8000 NaN
0.0000 0.9000 NaN
0.0000 1.0000 NaN
0.0000 1.1000 NaN
0.0000 1.2000 NaN
0.0000 1.3000 NaN
0.0000 1.4000 NaN
0.0000 1.5000 NaN
0.0000 1.6000 NaN
0.0000 1.7000 NaN
0.0000 1.8000 NaN
0.0000 1.9000 NaN
0.0000 2.0000 0.1517
0.0000 2.1000 0.1610
0.0000 2.2000 0.1625
0.0000 2.3000 0.1577
0.0000 2.4000 0.1632
0.0000 2.5000 0.1539
0.0000 2.6000 0.1561
0.0000 2.7000 0.1405
0.0000 2.8000 0.1510
0.0000 2.9000 0.1466
0.0000 3.0000 0.1322
0.0000 3.1000 0.1365
0.0000 3.2000 0.1362
0.0000 3.3000 0.1308
0.0000 3.4000 0.1395
0.0000 3.5000 0.1445
0.0000 3.6000 0.1401
0.0000 3.7000 0.1350
0.0000 3.8000 0.1497
0.0000 3.9000 0.1355
0.0000 4.0000 0.1529
0.0000 4.1000 0.1592
0.0000 4.2000 0.1421
0.0000 4.3000 0.1352
0.0000 4.4000 0.1399
0.0000 4.5000 0.1413
0.0000 4.6000 0.1419
0.0000 4.7000 0.1427
0.0000 4.8000 0.1461
0.0000 4.9000 0.1319
0.0000 5.0000 0.1341
0.0000 5.1000 0.1438
0.0000 5.2000 0.1427
0.0000 5.3000 0.1428
0.0000 5.4000 0.1564
0.0000 5.5000 0.1398
0.0000 5.6000 0.1423
0.0000 5.7000 0.1386
0.0000 5.8000 0.1312
0.0000 5.9000 0.1378
0.0000 6.0000 0.1408
0.0000 6.1000 NaN
0.0000 6.2000 NaN
0.0000 6.3000 NaN
0.0000 6.4000 NaN
0.0000 6.5000 NaN
0.0000 6.6000 NaN
0.0000 6.7000 NaN
0.0000 6.8000 NaN
0.0000 6.9000 NaN
0.0000 7.0000 NaN
0.0000 7.1000 NaN
0.0000 7.2000 NaN
0.0000 7.3000 NaN
0.0000 7.4000 NaN
0.0000 7.5000 NaN
0.0000 7.6000 NaN
0.0000 7.7000 NaN
0.0000 7.8000 NaN
0.0000 7.9000 NaN
0.1000 0.0000 NaN
0.1000 0.1000 NaN
0.1000 0.2000 NaN
0.1000 0.3000 NaN
0.1000 0.4000 NaN
0.1000 0.5000 NaN
0.1000 0.6000 NaN
0.1000 0.7000 NaN
0.1000 0.8000 NaN
0.1000 0.9000 NaN
0.1000 1.0000 NaN
0.1000 1.1000 NaN
0.1000 1.2000 NaN
0.1000 1.3000 NaN
0.1000 1.4000 NaN
0.1000 1.5000 NaN
0.1000 1.6000 NaN
0.1000 1.7000 NaN
0.1000 1.8000 NaN
0.1000 1.9000 NaN
0.1000 2.0000 0.1559
0.1000 2.1000 0.1525
0.1000 2.2000 0.1463
0.1000 2.3000 0.1517
0.1000 2.4000 0.1548
0.1000 2.5000 0.1551
0.1000 2.6000 0.1463
0.1000 2.7000 0.1492
0.1000 2.8000 0.1432
0.1000 2.9000 0.1356
0.1000 3.0000 0.1519
0.1000 3.1000 0.1341
0.1000 3.2000 0.1405
0.1000 3.3000 0.1404
0.1000 3.4000 0.1394
0.1000 3.5000 0.1390
0.1000 3.6000 0.1394
0.1000 3.7000 0.1432
0.1000 3.8000 0.1388
0.1000 3.9000 0.1495
0.1000 4.0000 0.1439
0.1000 4.1000 0.1449
0.1000 4.2000 0.1462
0.1000 4.3000 0.1469
0.1000 4.4000 0.1486
0.1000 4.5000 0.1470
0.1000 4.6000 0.1423
0.1000 4.7000 0.1430
0.1000 4.8000 0.1406
0.1000 4.9000 0.1397
0.1000 5.0000 0.1481
0.1000 5.1000 0.1370
0.1000 5.2000 0.1417
0.1000 5.3000 0.1350
0.1000 5.4000 0.1314
0.1000 5.5000 0.1349
0.1000 5.6000 0.1395
0.1000 5.7000 0.1369
0.1000 5.8000 0.1336
0.1000 5.9000 0.1318
0.1000 6.0000 0.1316
0.1000 6.1000 NaN
0.1000 6.2000 NaN
0.1000 6.3000 NaN
0.1000 6.4000 NaN
0.1000 6.5000 NaN
0.1000 6.6000 NaN
0.1000 6.7000 NaN
0.1000 6.8000 NaN
0.1000 6.9000 NaN
0.1000 7.0000 NaN
0.1000 7.1000 NaN
0.1000 7.2000 NaN
0.1000 7.3000 NaN
0.1000 7.4000 NaN
0.1000 7.5000 NaN
0.1000 7.6000 NaN
0.1000 7.7000 NaN
0.1000 7.8000 NaN
0.1000 7.9000 NaN
0.2000 0.0000 NaN
0.2000 0.1000 NaN
0.2000 0.2000 NaN
0.2000 0.3000 NaN
0.2000 0.4000 NaN
0.2000 0.5000 NaN
0.2000 0.6000 NaN
0.2000 0.7000 NaN
0.2000 0.8000 NaN
0.2000 0.9000 NaN
0.2000 1.0000 NaN
0.2000 1.1000 NaN
0.2000 1.2000 NaN
0.2000 1.3000 NaN
0.2000 1.4000 NaN
0.2000 1.5000 NaN
0.2000 1.6000 NaN
0.2000 1.7000 NaN
0.2000 1.8000 NaN
0.2000 1.9000 NaN
0.2000 2.0000 0.1413
0.2000 2.1000 0.1490
0.2000 2.2000 0.1547
0.2000 2.3000 0.1523
0.2000 2.4000 0.1421
0.2000 2.5000 0.1413
0.2000 2.6000 0.1501
0.2000 2.7000 0.1437
0.2000 2.8000 0.1374
0.2000 2.9000 0.1426
0.2000 3.0000 0.1472
0.2000 3.1000 0.1418
0.2000 3.2000 0.1375
0.2000 3.3000 0.1355
0.2000 3.4000 0.1464
0.2000 3.5000 0.1432
0.2000 3.6000 0.1402
0.2000 3.7000 0.1411
0.2000 3.8000 0.1430
0.2000 3.9000 0.1467
0.2000 4.0000 0.1373
0.2000 4.1000 0.1484
0.2000 4.2000 0.1400
0.2000 4.3000 0.1437
0.2000 4.4000 0.1389
0.2000 4.5000 0.1374
0.2000 4.6000 0.1526
0.2000 4.7000 0.1414
0.2000 4.8000 0.1355
0.2000 4.9000 0.1370
0.2000 5.0000 0.1383
0.2000 5.1000 0.1377
0.2000 5.2000 0.1491
0.2000 5.3000 0.1364
0.2000 5.4000 0.1332
0.2000 5.5000 0.1315
0.2000 5.6000 0.1259
0.2000 5.7000 0.1340
0.2000 5.8000 0.1370
0.2000 5.9000 0.1420
0.2000 6.0000 0.1298
0.2000 6.1000 NaN
0.2000 6.2000 NaN
0.2000 6.3000 NaN
0.2000 6.4000 NaN
0.2000 6.5000 NaN
0.2000 6.6000 NaN
0.2000 6.7000 NaN
0.2000 6.8000 NaN
0.2000 6.9000 NaN
0.2000 7.0000 NaN
0.2000 7.1000 NaN
0.2000 7.2000 NaN
0.2000 7.3000 NaN
0.2000 7.4000 NaN
0.2000 7.5000 NaN
0.2000 7.6000 NaN
0.2000 7.7000 NaN
0.2000 7.8000 NaN
0.2000 7.9000 NaN
0.3000 0.0000 NaN
0.3000 0.1000 NaN
0.3000 0.2000 NaN
0.3000 0.3000 NaN
0.3000 0.4000 NaN
0.3000 0.5000 NaN
0.3000 0.6000 NaN
0.3000 0.7000 NaN
0.3000 0.8000 NaN
0.3000 0.9000 NaN
0.3000 1.0000 NaN
0.3000 1.1000 NaN
0.3000 1.2000 NaN
0.3000 1.3000 NaN
0.3000 1.4000 NaN
0.3000 1.5000 NaN
0.3000 1.6000 NaN
0.3000 1.7000 NaN
0.3000 1.8000 NaN
0.3000 1.9000 NaN
0.3000 2.0000 0.1565
0.3000 2.1000 0.1501
0.3000 2.2000 0.1479
0.3000 2.3000 0.1404
0.3000 2.4000 0.1448
0.3000 2.5000 0.1522
0.3000 2.6000 0.1422
0.3000 2.7000 0.1388
0.3000 2.8000 0.1437
0.3000 2.9000 0.1322
0.3000 3.0000 0.1368
0.3000 3.1000 0.1440
0.3000 3.2000 0.1429
0.3000 3.3000 0.1376
0.3000 3.4000 0.1406
0.3000 3.5000 0.1346
0.3000 3.6000 0.1387
0.3000 3.7000 0.1386
0.3000 3.8000 0.1457
0.3000 3.9000 0.1435
0.3000 4.0000 0.1436
0.3000 4.1000 0.1502
0.3000 4.2000 0.1488
0.3000 4.3000 0.1386
0.3000 4.4000 0.1421
0.3000 4.5000 0.1402
0.3000 4.6000 0.1422
0.3000 4.7000 0.1346
0.3000 4.8000 0.1533
0.3000 4.9000 0.1386
0.3000 5.0000 0.1517
0.3000 5.1000 0.1507
0.3000 5.2000 0.1502
0.3000 5.3000 0.1341
0.3000 5.4000 0.1379
0.3000 5.5000 0.1356
0.3000 5.6000 0.1274
0.3000 5.7000 0.1341
0.3000 5.8000 0.1271
0.3000 5.9000 0.1333
0.3000 6.0000 0.1402
0.3000 6.1000 NaN
0.3000 6.2000 NaN
0.3000 6.3000 NaN
0.3000 6.4000 NaN
0.3000 6.5000 NaN
0.3000 6.6000 NaN
0.3000 6.7000 NaN
0.3000 6.8000 NaN
0.3000 6.9000 NaN
0.3000 7.0000 NaN
0.3000 7.1000 NaN
0.3000 7.2000 NaN
0.3000 7.3000 NaN
0.3000 7.4000 NaN
0.3000 7.5000 NaN
0.3000 7.6000 NaN
0.3000 7.7000 NaN
0.3000 7.8000 NaN
0.3000 7.9000 NaN
0.4000 0.0000 NaN
0.4000 0.1000 NaN
0.4000 0.2000 NaN
0.4000 0.3000 NaN
0.4000 0.4000 NaN
0.4000 0.5000 NaN
0.4000 0.6000 NaN
0.4000 0.7000 NaN
0.4000 0.8000 NaN
0.4000 0.9000 NaN
0.4000 1.0000 NaN
0.4000 1.1000 NaN
0.4000 1.2000 NaN
0.4000 1.3000 NaN
0.4000 1.4000 NaN
0.4000 1.5000 NaN
0.4000 1.6000 NaN
0.4000 1.7000 NaN
0.4000 1.8000 NaN
0.4000 1.9000 NaN
0.4000 2.0000 0.1509
0.4000 2.1000 0.1418
0.4000 2.2000 0.1391
0.4000 2.3000 0.1447
0.4000 2.4000 0.1469
0.4000 2.5000 0.1417
0.4000 2.6000 0.1390
0.4000 2.7000 0.1419
0.4000 2.8000 0.1425
0.4000 2.9000 0.1424
0.4000 3.0000 0.1486
0.4000 3.1000 0.1427
0.4000 3.2000 0.1356
0.4000 3.3000 0.1467
0.4000 3.4000 0.1378
0.4000 3.5000 0.1417
0.4000 3.6000 0.1399
0.4000 3.7000 0.1507
0.4000 3.8000 0.1406
0.4000 3.9000 0.1477
0.4000 4.0000 0.1470
0.4000 4.1000 0.1443
0.4000 4.2000 0.1481
0.4000 4.3000 0.1409
0.4000 4.4000 0.1514
0.4000 4.5000 0.1417
0.4000 4.6000 0.1353
0.4000 4.7000 0.1375
0.4000 4.8000 0.1448
0.4000 4.9000 0.1345
0.4000 5.0000 0.1465
0.4000 5.1000 0.1446
0.4000 5.2000 0.1415
0.4000 5.3000 0.1311
0.4000 5.4000 0.1367
0.4000 5.5000 0.1346
0.4000 5.6000 0.1299
0.4000 5.7000 0.1301
0.4000 5.8000 0.1290
0.4000 5.9000 0.1380
0.4000 6.0000 0.1400
0.4000 6.1000 NaN
0.4000 6.2000 NaN
0.4000 6.3000 NaN
0.4000 6.4000 NaN
0.4000 6.5000 NaN
0.4000 6.6000 NaN
0.4000 6.7000 NaN
0.4000 6.8000 NaN
0.4000 6.9000 NaN
0.4000 7.0000 NaN
0.4000 7.1000 NaN
0.4000 7.2000 NaN
0.4000 7.3000 NaN
0.4000 7.4000 NaN
0.4000 7.5000 NaN
0.4000 7.6000 NaN
0.4000 7.7000 NaN
0.4000 7.8000 NaN
0.4000 7.9000 NaN
0.5000 0.0000 NaN
0.5000 0.1000 NaN
0.5000 0.2000 NaN
0.5000 0.3000 NaN
0.5000 0.4000 NaN
0.5000 0.5000 NaN
0.5000 0.6000 NaN
0.5000 0.7000 NaN
0.5000 0.8000 NaN
0.5000 0.9000 NaN
0.5000 1.0000 NaN
0.5000 1.1000 NaN
